company,category,title,subtitle,link,year,month,day,excerpt,keywords_title,keywords_excerpt,myKeywords
uber,ai,Horovod Adds Support for PySpark and Apache MXNet and Additional Features for Faster Training,No subtitle,https://eng.uber.com/horovod-pyspark-apache-mxnet-support/,2019,2,21,Horovod adds support for more frameworks in the latest release and introduces new features to improve versatility and productivity.,"horovod adds support, faster training","introduces new features, horovod adds support",
uber,ai,Uber Open Source: Catching Up with Fritz Obermeyer and Noah Goodman from the Pyro Team,No subtitle,https://eng.uber.com/fritz-obermeyer-noah-goodman-pyro-interview/,2019,2,21,"We spoke with Fritz Obermeyer and Noah Goodman, Pyro project co-leads, about the potential of open source AI software at Uber and beyond.","uber open source, pyro team","open source ai software, pyro project co",
uber,ai,"Modeling Censored Time-to-Event Data Using Pyro, an Open Source Probabilistic Programming Language",No subtitle,https://eng.uber.com/modeling-censored-time-to-event-data-using-pyro/,2019,2,15,"Censored time-to-event data is critical to the proper modeling and understanding of customer engagement on the Uber platform. In this article, we demonstrate an easier way to model this data using Pyro.","open source probabilistic programming language, event data using pyro","data using pyro, event data",
uber,ai,"First Uber Science Symposium: Discussing the Next Generation of RL, NLP, ConvAI, and DL",No subtitle,https://eng.uber.com/uber-science-symposium-2018/,2019,2,12,"The Uber Science Symposium featured talks from members of the broader scientific community about the the latest innovations in RL, NLP, and other fields.","first uber science symposium, next generation","uber science symposium featured talks, broader scientific community",
uber,ai,"Introducing Ludwig, a Code-Free Deep Learning Toolbox",No subtitle,https://eng.uber.com/introducing-ludwig/,2019,2,11,"Uber AI developed Ludwig, a code-free deep learning toolbox, to make deep learning more accessible to non-experts and enable faster model iteration cycles.","free deep learning toolbox, introducing ludwig","enable faster model iteration cycles, uber ai developed ludwig",
uber,ai,Manifold: A Model-Agnostic Visual Debugging Tool for Machine Learning at Uber,No subtitle,https://eng.uber.com/manifold/,2019,1,14,"Uber built Manifold, a model-agnostic visualization tool for ML performance diagnosis and model debugging, to facilitate a more informed and actionable model iteration process.","agnostic visual debugging tool, machine learning","actionable model iteration process, uber built manifold",Visualization 
uber,ai,Creating a Zoo of Atari-Playing Agents to Catalyze the Understanding of Deep Reinforcement Learning,No subtitle,https://eng.uber.com/atari-zoo-deep-reinforcement-learning/,2019,1,9,"Uber AI Labs releases Atari Model Zoo, an open source repository of both trained Atari Learning Environment agents and tools to better understand them.","deep reinforcement learning, playing agents","uber ai labs releases atari model zoo, trained atari learning environment agents",
uber,ai,POET: Endlessly Generating Increasingly Complex and Diverse Learning Environments and their Solutions through the Paired Open-Ended Trailblazer,No subtitle,https://eng.uber.com/poet-open-ended-deep-learning/,2019,1,8,"Uber AI Labs introduces the Paired Open-Ended Trailblazer (POET), an algorithm that leverages open-endedness to push the bounds of machine learning.","endlessly generating increasingly complex, diverse learning environments","uber ai labs introduces, poet ),",
uber,ai,Faster Neural Networks Straight from JPEG,No subtitle,https://eng.uber.com/neural-networks-jpeg/,2018,12,11,Uber AI Labs introduces a method for making neural networks that process images faster and more accurately by leveraging JPEG representations.,"faster neural networks straight, jpeg","uber ai labs introduces, process images faster",
uber,ai,How to Get a Better GAN (Almost) for Free: Introducing the Metropolis-Hastings GAN,No subtitle,https://eng.uber.com/mh-gan/,2018,11,29,Metropolis-Hastings Generative Adversarial Networks (GANs) leverage the discriminator to pick better samples from the generator after ML model training is done.,"hastings gan, better gan","hastings generative adversarial networks, pick better samples",
uber,ai,"Montezuma's Revenge Solved by Go-Explore, a New Algorithm for Hard-Exploration Problems (Sets Records on Pitfall, Too)",No subtitle,https://eng.uber.com/go-explore/,2018,11,26,"Uber AI Labs introduces Go-Explore, a new reinforcement learning algorithm for solving a variety of challenging problems, especially in robotics.","sets records, revenge solved","uber ai labs introduces go, new reinforcement learning algorithm",
uber,ai,Collaboration at Scale: Highlights from Uber Open Summit 2018,No subtitle,https://eng.uber.com/uber-open-summit-2018-highlights/,2018,11,20,"Uber hosted its first Open Summit on November 15, inviting the open source community to learn about our open source projects from the engineers who  use them every day. Check out highlights from the day, including keynotes from the Linux Foundation's Jim Zemlin and Uber AI's Zoubin Ghahramani.","uber open summit 2018, scale","open source projects, open source community",
uber,ai,Experience in AI: Uber Hires Jan Pedersen,No subtitle,https://eng.uber.com/uber-hires-jan-pedersen/,2018,11,15,"Uber welcomes Jan Pedersen as a Distinguished Scientist to our Uber AI group, where he will bring his extensive experience to our efforts in improving artificial intelligence and machine learning.","uber hires jan pedersen, experience","uber welcomes jan pedersen, uber ai group",
uber,ai,NVIDIA: Accelerating Deep Learning with Uber's Horovod,No subtitle,https://eng.uber.com/nvidia-horovod-deep-learning/,2018,11,14,"Horovod, Uber's open source distributed deep learning system, enables NVIDIA to scale model training from one to eight GPUs for their self-driving sensing and perception technologies.","accelerating deep learning, uber","open source distributed deep learning system, scale model training",
uber,ai,Announcing the 2019 Uber AI Residency,No subtitle,https://eng.uber.com/ai-residency-2019/,2018,11,13,The Uber AI Residency is a 12-month training program for academics and professionals interested in becoming an AI researcher with Uber AI Labs or Uber ATG.,"2019 uber ai residency, announcing","month training program, uber ai residency",
uber,ai,Scaling Machine Learning at Uber with Michelangelo,No subtitle,https://eng.uber.com/scaling-michelangelo/,2018,11,2,"Uber built Michelangelo, our machine learning platform, in 2015. Three years later, we reflect our journey to scaling ML at Uber and lessons learned along the way.","scaling machine learning, uber","three years later, machine learning platform",
